className,start,end,type,group,content,act,census
enacted act-odd census-odd,"1990, 12, 26","1991, 4, 21",background,0,,1990,1986
enacted act-even census-even,"1986, 4, 13","1990, 12, 26",background,0,,1983,1986
enacted act-even census-odd,"1983, 12, 14","1986, 4, 13",background,0,,1983,1981
enacted act-odd census-even,"1981, 4, 5","1983, 12, 14",background,0,,1980,1981
enacted act-odd census-odd,"1980, 7, 1","1981, 4, 5",background,0,,1980,1979
enacted act-even census-even,"1979, 4, 1","1980, 7, 1",background,0,,1974,1979
enacted act-even census-odd,"1974, 5, 7","1979, 4, 1",background,0,,1974,1971
enacted act-odd census-even,"1971, 4, 18","1974, 5, 7",background,0,,1969,1971
enacted act-odd census-odd,"1969, 3, 26","1971, 4, 18",background,0,,1969,1966
enacted act-even census-even,"1966, 4, 17","1969, 3, 26",background,0,,1961,1966
enacted act-even census-odd,"1961, 7, 14","1966, 4, 17",background,0,,1961,1961
enacted NEVER-EFFECTED,"1961, 4, 9","1961, 7, 14",background,0,,1959,1961
enacted NEVER-EFFECTED,"1959, 11, 26","1961, 4, 9",background,0,,1959,1956
enacted act-odd census-odd,"1956, 4, 8","1959, 11, 26",background,0,,1947,1956
enacted act-odd census-even,"1951, 4, 8","1956, 4, 8",background,0,,1947,1951
enacted act-odd census-odd,"1947, 11, 27","1951, 4, 8",background,0,,1947,1946
enacted act-even census-even,"1946, 5, 12","1947, 11, 27",background,0,,1935,1946
enacted act-even census-odd,"1936, 4, 26","1946, 5, 12",background,0,,1935,1936
enacted act-even census-even,"1935, 2, 27","1936, 4, 26",background,0,,1935,1926
exec,"2017, 6, 14",,range,0,31st Government,,
exec,"2016, 5, 6","2017, 6, 14",range,0,30th Government,,
exec,"2016, 3, 10","2016, 5, 6",range,0,Caretaker Gvt,,
exec,"2011, 3, 9","2016, 3, 10",range,0,29th Government,,
exec,"2008, 5, 7","2011, 3, 9",range,0,28th Government,,
exec,"2007, 6, 14","2008, 5, 7",range,0,27th Government,,
exec,"2002, 6, 6","2007, 6, 14",range,0,26th Government,,
exec,"1997, 6, 26","2002, 6, 6",range,0,25th Government,,
exec,"1994, 12, 15","1997, 6, 26",range,0,24th Government,,
exec,"1993, 1, 12","1994, 12, 15",range,0,23rd Government,,
exec,"1992, 2, 11","1993, 1, 12",range,0,22nd Government,,
exec,"1989, 7, 12","1992, 2, 11",range,0,21st Government,,
exec,"1987, 3, 10","1989, 7, 12",range,0,20th Government,,
exec,"1982, 12, 14","1987, 3, 10",range,0,19th Government,,
exec,"1982, 3, 9","1982, 12, 14",range,0,18th Government,,
exec,"1981, 6, 30","1982, 3, 9",range,0,17th Government,,
exec,"1979, 12, 11","1981, 6, 30",range,0,16th Government,,
exec,"1977, 7, 5","1979, 12, 11",range,0,15th Government,,
exec,"1973, 3, 14","1977, 7, 5",range,0,14th Government,,
exec,"1969, 7, 2","1973, 3, 14",range,0,13th Government,,
exec,"1966, 11, 10","1969, 7, 2",range,0,12th Government,,
exec,"1965, 4, 21","1966, 11, 10",range,0,11th Government,,
exec,"1961, 10, 11","1965, 4, 21",range,0,10th Government,,
exec,"1959, 6, 23","1961, 10, 11",range,0,9th Government,,
exec,"1957, 3, 20","1959, 6, 23",range,0,8th Government,,
exec,"1954, 6, 2","1957, 3, 20",range,0,7th Government,,
exec,"1951, 6, 13","1954, 6, 2",range,0,6th Government,,
exec,"1948, 2, 18","1951, 6, 13",range,0,5th Government,,
exec,"1944, 6, 9","1948, 2, 18",range,0,4th Government,,
exec,"1943, 7, 1","1944, 6, 9",range,0,3rd Government,,
exec,"1938, 6, 30","1943, 7, 1",range,0,2nd Government,,
exec,"1937, 12, 29","1938, 6, 30",range,0,1st Government,,
exec,"1937, 7, 21","1937, 12, 29",range,0,8th Executive Council,,
